,zip_code,neighborhood,community,rent_2024,mean_rent,0br_2019,0br_2020,0br_2021,0br_2022,0br_2023,population,median_household_income,unemployment_rate,average_household_size,crime_rate,average_temp,median_age,white_population,black_population,native_population,asian_population,latino_population,rent_growth_2019_to_2020,rent_growth_2020_to_2021,rent_growth_2021_to_2022,rent_growth_2022_to_2023,predicted_growth_2023_to_2024
71,90240,Downey,Downey,1727.0,1446.0,1260.0,1400,1480,1470,1620,26495,99874,0.047,3.22,4.5,65.4,38.7,0.547,0.047,0.022,0.101,0.708,0.1111111111111111,0.05714285714285714,-0.006756756756756757,0.10204081632653061,0.06588450695593552
72,90241,Downey,Downey,1610.0,1338.0,1170.0,1280,1360,1370,1510,44921,81220,0.07,3.22,4.5,65.4,35.6,0.573,0.038,0.021,0.085,0.749,0.09401709401709402,0.0625,0.007352941176470588,0.10218978102189781,0.06651495405386561
73,90242,Downey,Downey,1644.0,1360.0,1190.0,1300,1380,1390,1540,42939,81448,0.047,3.22,4.5,65.4,36.2,0.514,0.05,0.039,0.075,0.76,0.09243697478991597,0.06153846153846154,0.007246376811594203,0.1079136690647482,0.06728387055117999
74,90245,El Segundo,El Segundo,2154.0,1754.0,1530.0,1670,1770,1790,2010,17272,142596,0.054,2.41,6.9,63.0,36.4,0.821,0.074,0.023,0.149,0.188,0.0915032679738562,0.059880239520958084,0.011299435028248588,0.12290502793296089,0.07139699261400594
75,90247,Gardena,Gardena,1465.0,1232.0,1090.0,1180,1250,1260,1380,48543,70012,0.049,2.87,6.3,63.0,38.0,0.289,0.187,0.021,0.271,0.491,0.08256880733944955,0.059322033898305086,0.008,0.09523809523809523,0.06128223411896247
76,90248,Gardena,Gardena,1339.0,1196.0,1070.0,1170,1220,1240,1280,11295,75865,0.049,2.87,6.3,63.0,45.5,0.244,0.218,0.043,0.379,0.337,0.09345794392523364,0.042735042735042736,0.01639344262295082,0.03225806451612903,0.046211123449839055
77,90249,Gardena,Gardena,1389.0,1172.0,1000.0,1120,1200,1240,1300,27125,83125,0.039,2.87,6.3,63.0,40.3,0.374,0.274,0.039,0.168,0.438,0.12,0.07142857142857142,0.03333333333333333,0.04838709677419355,0.06828725038402457
78,90250,Hawthorne ,Hawthorne,1478.0,1242.0,1090.0,1200,1260,1270,1390,97653,74616,0.072,2.94,7.3,62.1,33.7,0.452,0.262,0.031,0.092,0.537,0.10091743119266056,0.05,0.007936507936507936,0.09448818897637795,0.06333553202638662
79,90254,Hermosa Beach,Hermosa Beach,2468.0,2018.0,1740.0,1920,2050,2080,2300,19736,149500,0.049,2.2,2.9,64.9,40.2,0.891,0.014,0.009,0.129,0.114,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
80,90255,Walnut Park,Huntington Park,1335.0,1150.0,1000.0,1090,1160,1240,1260,71157,57013,0.1,3.7,7.7,67.2,33.9,0.55,0.009,0.03,0.008,0.973,0.09,0.06422018348623854,0.06896551724137931,0.016129032258064516,0.059828683246420586
81,90260,Lawndale,Lawndale,1624.0,1362.0,1210.0,1310,1380,1380,1530,33338,80205,0.081,3.24,4.3,63.6,36.3,0.584,0.078,0.028,0.141,0.629,0.08264462809917356,0.05343511450381679,0.0,0.10869565217391304,0.06119384869422585
82,90262,Lynwood,Lynwood,1362.0,1154.0,1000.0,1090,1160,1240,1280,67099,67620,0.097,4.17,24.3,62.1,32.3,0.515,0.09,0.023,0.011,0.879,0.09,0.06422018348623854,0.06896551724137931,0.03225806451612903,0.06386094131093673
83,90265,Malibu,Malibu,2468.0,2018.0,1740.0,1920,2050,2080,2300,15186,186264,0.061,2.4,5.5,61.3,49.7,0.882,0.016,0.03,0.089,0.109,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
84,90266,Manhattan Beach,Manhattan Beach,2468.0,2018.0,1740.0,1920,2050,2080,2300,35506,187217,0.038,2.6,1.9,63.6,43.4,0.827,0.006,0.013,0.189,0.08,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
85,90270,Maywood,Bell,1316.0,1152.0,1020.0,1090,1160,1240,1250,25113,57741,0.056,3.66,6.0,63.0,31.8,0.546,0.01,0.026,0.013,0.976,0.06862745098039216,0.06422018348623854,0.06896551724137931,0.008064516129032258,0.052469416959260565
86,90272,Pacific Palisades,Los Angeles ,2468.0,2018.0,1740.0,1920,2050,2080,2300,22849,225256,0.037,2.61,27.1,65.2,46.7,0.907,0.032,0.005,0.117,0.045,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
87,90274,Rolling Hills,Palos Verdes Estates,2468.0,2018.0,1740.0,1920,2050,2080,2300,25307,206013,0.055,2.57,0.3,63.6,51.6,0.714,0.041,0.007,0.277,0.058,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
88,90275,Rolling Hills,Rancho Palos Verdes,2468.0,2018.0,1740.0,1920,2050,2080,2300,42452,166602,0.05,2.69,1.3,63.6,49.8,0.6,0.031,0.011,0.378,0.109,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
89,90277,Redondo Beach,Redondo Beach,2225.0,1886.0,1670.0,1820,1920,1920,2100,37856,120008,0.053,2.45,4.1,63.6,44.5,0.788,0.043,0.02,0.18,0.148,0.08982035928143713,0.054945054945054944,0.0,0.09375,0.05962885355662302
90,90278,Redondo Beach,Redondo Beach,2084.0,1700.0,1460.0,1610,1720,1770,1940,42188,143785,0.052,2.45,4.1,63.6,38.3,0.716,0.052,0.018,0.255,0.157,0.10273972602739725,0.06832298136645963,0.029069767441860465,0.096045197740113,0.07404441814395758
91,90280,South Gate,South Gate,1368.0,1168.0,1020.0,1110,1180,1240,1290,92678,67287,0.078,3.86,5.3,67.2,33.7,0.553,0.02,0.025,0.009,0.952,0.08823529411764706,0.06306306306306306,0.05084745762711865,0.04032258064516129,0.06061709886324751
92,90291,Venice,Los Angeles,2468.0,2018.0,1740.0,1920,2050,2080,2300,28442,111610,0.071,1.85,27.1,61.3,39.6,0.818,0.077,0.025,0.073,0.171,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
93,90292,Marina del Rey,Los Angeles,2468.0,2018.0,1740.0,1920,2050,2080,2300,27681,136854,0.057,1.83,27.1,65.8,39.2,0.812,0.084,0.017,0.155,0.106,0.10344827586206896,0.06770833333333333,0.014634146341463415,0.10576923076923077,0.07288999657652412
94,90293,Playa del Rey,Los Angeles,2483.0,1972.0,1660.0,1850,1990,2070,2290,12633,124688,0.076,1.94,27.1,65.8,41.4,0.809,0.043,0.011,0.133,0.169,0.1144578313253012,0.07567567567567568,0.04020100502512563,0.10628019323671498,0.08415367631570436
95,90301,Inglewood,Inglewood,1518.0,1252.0,1090.0,1190,1270,1290,1420,36270,61910,0.083,2.91,6.4,64.9,37.6,0.317,0.336,0.036,0.041,0.572,0.09174311926605505,0.06722689075630252,0.015748031496062992,0.10077519379844961,0.06887330882921754
